tax_path,tax_name,min_ani,avg_reads_per_occurrence,phylum,family
"242467:s__Sporomusa malonica:""species""	136469:g__Sporomusa:""genus""	12329:f__Sporomusaceae:""family""	11373:o__Sporomusales:""order""	604:c__Negativicutes:""class""	603:p__Firmicutes_C:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Sporomusa malonica,93.52699145017333,353.1363636363636,Firmicutes,Sporomusaceae
"48030:s__CG2-30-66-27 sp001873935:""species""	13667:g__CG2-30-66-27:""genus""	5732:f__MBNT15:""family""	5731:o__MBNT15:""order""	5730:c__MBNT15_B:""class""	5729:p__MBNT15:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",CG2-30-66-27 sp001873935,93.61533245529866,523.75,MBNT15,MBNT15
"102733:s__UBA2475 sp013697245:""species""	52829:g__UBA2475_A:""genus""	52828:f__B-17BO:""family""	5782:o__AKYH767:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA2475 sp013697245,92.55284275779552,117.0,Bacteroidota,B-17BO
"103145:s__GMQP-bins7 sp013817555:""species""	79224:g__GMQP-bins7:""genus""	48477:f__Gaiellaceae:""family""	48476:o__Gaiellales:""order""	4673:c__Thermoleophilia:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",GMQP-bins7 sp013817555,92.77567811633782,177.0,Actinobacteriota,Gaiellaceae
"111454:s__Conexibacter sp015655225:""species""	28913:g__Conexibacter:""genus""	4675:f__Solirubrobacteraceae:""family""	4674:o__Solirubrobacterales:""order""	4673:c__Thermoleophilia:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Conexibacter sp015655225,92.50137938781734,117.1923076923077,Actinobacteriota,Solirubrobacteraceae
"114383:s__JACQHZ01 sp016198745:""species""	114382:g__JACQHZ01:""genus""	99663:f__JABWAM01:""family""	99662:o__JABWAM01:""order""	158:c__Verrucomicrobiae:""class""	157:p__Verrucomicrobiota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JACQHZ01 sp016198745,92.421400648761,124.0,Verrucomicrobiota,JABWAM01
"115368:s__JACQUW01 sp016210115:""species""	115367:g__JACQUW01:""genus""	5205:f__UBA9968:""family""	46745:o__UBA9968_A:""order""	46744:c__Binatia:""class""	976:p__Desulfobacterota_B:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JACQUW01 sp016210115,92.46175802053688,122.56521739130434,Desulfobacterota,UBA9968
"117871:s__ATZT02 sp016463095:""species""	38730:g__ATZT02:""genus""	5494:f__AcAMD-5:""family""	2855:o__Nanopelagicales_A:""order""	344:c__Actinobacteria:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",ATZT02 sp016463095,94.4993323982813,109.21739130434783,Actinobacteriota,AcAMD-5
"118466:s__PHOS-HE28 sp016703005:""species""	2311:g__PHOS-HE28:""genus""	2310:f__PHOS-HE28:""family""	431:o__Flavobacteriales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",PHOS-HE28 sp016703005,92.901271720057,108.36363636363636,Bacteroidota,PHOS-HE28
"121063:s__Ga0077553 sp016789905:""species""	43134:g__Ga0077553_A:""genus""	38462:f__Bryobacteraceae:""family""	38461:o__Bryobacterales:""order""	354:c__Acidobacteriae:""class""	353:p__Acidobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Ga0077553 sp016789905,92.46143479817076,328.0357142857143,Acidobacteriota,Bryobacteraceae
