Middle_depth,RBG-16-66-30 sp001775755,RBG-16-66-30 sp001775715,GWA2-58-10 sp001780825,RBG-13-53-26 sp001795035,0-14-3-00-41-53 sp002780895,ER46 sp002304435,UBA1163 sp002327885,UBA1429 sp002329325,UBA2258 sp002347155,PALSA-986 sp003133625,UBA4085 sp003154255,FEN-1349 sp003153915,UBA8522 sp003524335,B4-G1 sp003648125,RBG-16-66-30 sp011048485,NIOZ-UU13 sp013202635,JABMQX01 sp013203085,JABMQG01 sp013203365,UBA8941 sp8941u,Kmv42 sp014859105,SM1-50 sp014894395,UBA2258 sp016867815,JAFGPS01 sp016933295,UBA2258 sp016935295,JAFGQJ01 sp016935715,RBG-16-66-30 sp017883305,UBA8941 sp017883585,UBA8522 sp017886205,JAGONM01 sp017993055,UBA2258 sp903908785,UBA8941 sp001774245,FEN-33 sp003135935,Fen-1077 sp003141235,PALSA-986 sp003141855,PALSA-986 sp003165195,PALSA-986 sp003589585,B46-G15 sp003662205,E44-bin88 sp013202445,JACWAE01 sp014874385,VGYT01 sp016872895,SG8-32-3 sp016927015,SM23-28-2 sp001303545,RBG-16-57-9 sp001775965,E44-bin10 sp004377135,JACAER01 sp013388745,JACQON01 sp016202545,RBG-16-57-9 sp016934355,Actinomycetospora sp902805495,CSP1-2 sp001443445,DTKJ01 sp011333555,VGWZ01 sp016873595,DTHB01 sp011334855,DRWE01 sp011373735,Desulfosporosinus sp001516045,0-14-0-80-60-11 sp016874915,SG8-32-3 sp016927895,FEN-987 sp001768965,RBG-13-51-18 sp001796495,OWC5 sp003345595,Hydromicrobium sp004376325,9FT-COMBO-48-23 sp016783155,9FT-COMBO-48-23 sp016865855,0-14-0-80-60-11 sp016874945,9FT-COMBO-48-23 sp016875875,RBG-13-51-18 sp016926705,Hydromicrobium sp018894445,E44-bin46 sp004376105,BS750m-G39 sp016783245,VGFA01 sp016869025,DRWE01 sp011388385,RBG-16-49-23 sp016875155
644.3,0.01588468,0.010432216,0,0,0,0,0.0711277,0,0,0.019365726,0.032464154,0.05762436,0,0,0.021214556,0,0,0,0.024999388,0.10178973,0,0,0,0,0,0.021033369,0.045291383,0.060368843,0.031048657,0,0.03544315,0,0.10740777,0.02695363,0.040824503,0.02727382,0,0,0,0.08166284,0,0,0,0,0,0,0,0,0.051053364,0,0,0,0.023697732,0.0221461,0.036092672,0,0,0,0.020021627,0,0.03681654,0,0.04361699,0,0,0,0.020247988,0.045918845,0,0.017067874,0.048701268
683.4,0.06341878,0.05767438,0,0,0,0,0.040121567,0,0,0.03861689,0.07521698,0.11161898,0.08269218,0,0.06472045,0,0.061716348,0,0.044950888,0,0,0,0,0,0.045812964,0.0419718,0.030140596,0.15605386,0.08052794,0,0.0492367,0,0.06892848,0.06844829,0.02423783,0,0,0,0.077070534,0,0.0731577,0.022767497,0,0,0,0,0,0,0.037638206,0,0,0,0.050421946,0,0.0419618,0,0,0.069181934,0,0,0,0,0.04357527,0,0,0,0,0,0,0,0.0843006
700.5,0.052133277,0.07395669,0,0,0,0,0.06298388,0,0,0.031452335,0,0.021063907,0.1226283,0,0.05158047,0,0,0,0.040540673,0.07803796,0,0,0,0,0.055543188,0.053447038,0.016431632,0.045741186,0.04996755,0,0.041338135,0.020325061,0,0.0834824,0.024116728,0.06641644,0,0,0,0,0,0,0,0,0,0,0,0,0.066084504,0.05379733,0,0,0.052684605,0,0.027465116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055356048,0.052068006
750.5,0,0,0,0,0,0,0,0,0,0,0.040746585,0.01562722,0.10329061,0.076132,0,0.058415238,0,0,0.06911347,0.040701643,0.16599691,0,0.04312125,0,0.03737363,0,0.08407002,0.074497275,0.050514642,0,0.081852935,0,0,0.05080434,0,0,0,0,0,0.046566222,0.06279095,0,0,0,0,0.11573912,0,0,0.075497895,0.020460472,0,0,0.0420343,0,0,0.049125742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028922752,0
804.9,0.038486496,0,0,0,0,0,0.07453463,0,0,0,0.10735164,0.051740713,0.055293534,0,0.030141314,0,0,0.0796189,0,0.06230495,0,0,0,0,0.05414043,0,0,0.047504146,0.079632,0,0,0.05364844,0.07113222,0.0482241,0.028556885,0.021061571,0.043987248,0,0,0,0.03787232,0,0,0,0,0,0.033599306,0,0.045702204,0,0,0.06413324,0.012412631,0.0965042,0.050635003,0,0,0,0,0,0,0,0.06691382,0,0,0,0,0,0,0.02061794,0.063100845
845.6,0.03217729,0.030422458,0,0.07305817,0,0,0,0,0,0.0284828,0,0,0.06513119,0,0.025229856,0,0,0,0,0.03282957,0,0,0,0,0.034839507,0.025714004,0,0.032822672,0.05216213,0,0.035631724,0,0.053520136,0.06506341,0.02700383,0,0.040358603,0,0,0,0.07858545,0.06459766,0,0,0,0,0.018338252,0,0.03815493,0,0.06324695,0.02582461,0.05166841,0.0154106505,0.051388156,0,0,0,0,0,0,0,0.037327718,0,0,0,0,0,0,0.034119707,0
865.6,0,0,0,0,0,0,0,0.07021617,0,0.031186167,0,0.031578742,0.066227436,0.033546966,0,0,0.08313803,0.0303609,0.029069403,0.037336003,0,0,0.042024724,0,0.043195944,0,0.038691435,0,0.043552343,0,0.06047929,0,0.045576386,0.032506205,0.062195435,0.03856793,0.017379101,0,0,0,0,0,0,0,0.04239709,0,0,0.07654534,0.04740942,0.02760548,0,0.06732212,0.030302383,0.011565261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900.5,0.08461695,0.083288185,0.032846812,0.1288761,0.094705544,0,0,0,0.0935498,0,0.086159244,0.058045194,0.069081135,0,0.033313137,0.04933452,0.06117009,0,0.10448405,0.124199145,0.10760687,0.12247036,0.08204653,0.10439853,0,0.09327789,0,0.05761671,0.09594635,0.11402783,0.08362058,0,0.09757895,0,0,0,0.028491894,0.06453653,0,0.07002967,0.047978558,0.041698903,0.09506177,0.06182245,0,0,0.08146182,0.04315202,0,0.08555499,0.12969647,0.05109597,0,0.060324814,0,0.110667296,0.06167248,0.07434504,0.03029355,0,0.04394736,0.044727374,0,0.06300006,0.07642013,0.03863662,0.05845983,0.03911825,0.10682958,0,0
966.1,0.06687753,0,0.04142626,0.071988076,0,0,0,0,0.015090152,0,0.055719413,0.06490026,0.025699453,0.09703538,0,0.07178124,0,0.06480082,0.061569832,0.032005824,0.05546814,0.026447749,0.040730953,0.03178495,0,0,0.05401146,0.020328913,0.06867664,0.026204733,0.059492208,0,0.07836672,0.05834389,0,0,0,0,0.03802752,0.058929905,0.040863685,0.04743301,0.060167592,0.037562445,0,0,0.04959491,0,0,0,0,0.025369078,0.036248643,0,0.010848169,0.059493463,0.026595384,0,0.046675306,0.02543924,0.054468248,0.045360737,0.040000375,0.06261487,0,0.025881533,0.055308744,0.06370429,0.058621094,0.055409312,0
1003.8,0,0,0,0.08322562,0,0,0,0.03710313,0.025823131,0,0,0.060019672,0.037976712,0.09226952,0,0.036914416,0.021066427,0,0.08813344,0.08367871,0.066394635,0.03942185,0.06892948,0.03377339,0.060554422,0,0.07101845,0.04398385,0,0.029976478,0.06785715,0,0,0.024956599,0,0,0.07364979,0.026444148,0,0.051040396,0.062479757,0.046915013,0.06682031,0.0517398,0,0,0.04577879,0,0,0,0.03301486,0.018333407,0,0,0.053627748,0.065354094,0.024699105,0.07235074,0.069301404,0.039575227,0.06762903,0.09911908,0.03151307,0.06697786,0.05974817,0.03725743,0.02781798,0.028564496,0.15701856,0,0.08509365
1043.8,0,0,0,0,0,0.06384284,0.072470516,0.08364952,0,0.09925564,0.07585847,0,0.09965368,0,0,0,0.10703003,0,0,0,0,0,0,0,0.0883926,0,0,0.114561275,0.051319893,0,0,0,0,0.07764931,0,0,0,0,0,0,0,0,0,0,0.049907073,0,0,0.06019263,0,0,0,0,0.034178622,0,0.047406547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784464
1100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07514224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09002886,0,0,0,0,0,0,0,0.032053594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179.7,0,0.0147117125,0,0,0,0,0.06275052,0,0,0.070391156,0,0,0,0,0,0,0,0,0.043072883,0,0,0,0,0,0,0,0.026392795,0,0.020686466,0,0.032534093,0,0,0.07298398,0,0,0,0,0,0,0,0.06417938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045370962,0.030390162,0.043481696
1283.8,0.060259614,0.04052294,0,0.0341875,0.031841226,0,0.023599792,0,0,0.028516263,0.027209345,0,0.0105882725,0.03916983,0,0,0.024737084,0,0,0.06795856,0.014668452,0,0,0,0,0.06156295,0,0.017766768,0,0.07625675,0.13532247,0,0.03428927,0.07755295,0.04009956,0,0,0.03696762,0,0,0.028018625,0.020390667,0,0.014112154,0,0.03968931,0,0,0,0,0.039399635,0,0,0,0.020739857,0.07462214,0,0.034492236,0,0.021815084,0.007134862,0,0,0.009489769,0.012700074,0.013805756,0.03853071,0.02500964,0.014805097,0,0.024928013
