tax_name,tax_path,foreign
Schistocerca,"7008:Schistocerca:""genus""	37267:Cyrtacanthacridinae:""subfamily""	7002:Acrididae:""family""	92621:Acridoidea:""superfamily""	70910:Acridomorpha:""no rank""	1955150:Acrididea:""infraorder""	7001:Caelifera:""suborder""	6993:Orthoptera:""order""	33341:Polyneoptera:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",TRUE
Aedes,"7158:Aedes:""genus""	1056966:Aedini:""tribe""	43817:Culicinae:""subfamily""	7157:Culicidae:""family""	41827:Culicoidea:""superfamily""	43786:Culicomorpha:""infraorder""	7148:Nematocera:""suborder""	7147:Diptera:""order""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",TRUE
Varroa,"62624:Varroa:""genus""	109261:Varroidae:""family""	41438:Dermanyssoidea:""superfamily""	1723665:Gamasina:""infraorder""	281668:Monogynaspida:""suborder""	34634:Mesostigmata:""order""	6934:Parasitiformes:""superorder""	6933:Acari:""subclass""	6854:Arachnida:""class""	6843:Chelicerata:""subphylum""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Daphnia,"6668:Daphnia:""genus""	77658:Daphniidae:""family""	116561:Anomopoda:""infraorder""	6665:Cladocera:""suborder""	84337:Diplostraca:""order""	116557:Phyllopoda:""subclass""	6658:Branchiopoda:""class""	6657:Crustacea:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Operophtera,"104451:Operophtera:""genus""	104450:Larentiinae:""subfamily""	82593:Geometridae:""family""	82592:Geometroidea:""superfamily""	104431:Obtectomera:""clade""	37567:Ditrysia:""clade""	41197:Heteroneura:""parvorder""	41196:Neolepidoptera:""infraorder""	41191:Glossata:""suborder""	7088:Lepidoptera:""order""	85604:Amphiesmenoptera:""superorder""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Dolichovespula,"7440:Dolichovespula:""genus""	7439:Vespinae:""subfamily""	7438:Vespidae:""family""	34725:Vespoidea:""superfamily""	7434:Aculeata:""infraorder""	7400:Apocrita:""suborder""	7399:Hymenoptera:""order""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Anopheles,"7164:Anopheles:""genus""	43816:Anophelinae:""subfamily""	7157:Culicidae:""family""	41827:Culicoidea:""superfamily""	43786:Culicomorpha:""infraorder""	7148:Nematocera:""suborder""	7147:Diptera:""order""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Melolontha,"7060:Melolontha:""genus""	7059:Melolonthinae:""subfamily""	7055:Scarabaeidae:""family""	75546:Scarabaeoidea:""superfamily""	41086:Scarabaeiformia:""infraorder""	41084:Polyphaga:""suborder""	7041:Coleoptera:""order""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Megachile,"132116:Megachile:""genus""	156331:Megachilini:""tribe""	156330:Megachilinae:""subfamily""	124286:Megachilidae:""family""	34735:Apoidea:""superfamily""	7434:Aculeata:""infraorder""	7400:Apocrita:""suborder""	7399:Hymenoptera:""order""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
Vespa,"7443:Vespa:""genus""	7439:Vespinae:""subfamily""	7438:Vespidae:""family""	34725:Vespoidea:""superfamily""	7434:Aculeata:""infraorder""	7400:Apocrita:""suborder""	7399:Hymenoptera:""order""	33392:Endopterygota:""cohort""	33340:Neoptera:""infraclass""	7496:Pterygota:""subclass""	85512:Dicondylia:""clade""	50557:Insecta:""class""	6960:Hexapoda:""subphylum""	197562:Pancrustacea:""clade""	197563:Mandibulata:""clade""	6656:Arthropoda:""phylum""	88770:Panarthropoda:""clade""	1206794:Ecdysozoa:""clade""	33317:Protostomia:""clade""	33213:Bilateria:""clade""	6072:Eumetazoa:""clade""	33208:Metazoa:""kingdom""	33154:Opisthokonta:""clade""	2759:Eukaryota:""superkingdom""	131567:cellular organisms:""no rank""	1:root:""no rank""",FALSE
